Time,Value_1,Value_2,Value_3
6.56247,0.533463,-0.989163,0.512825
6.57497,0.524623,-0.997968,0.150329
6.58747,0.524817,-1.00149,-0.214053
6.59997,0.534074,-0.999668,-0.575453
6.61247,0.55208,-0.992437,-0.929041
6.62497,0.578185,-0.979712,-1.27007
6.63747,0.611429,-0.961435,-1.59394
6.64997,0.650561,-0.937621,-1.89623
6.66247,0.694091,-0.908406,-2.17277
6.67497,0.740339,-0.874107,-2.41969
6.68747,0.787507,-0.835258,-2.63347
6.69997,0.833752,-0.792655,-2.81102
6.71247,0.877264,-0.747359,-2.94972
6.72497,0.916356,-0.700696,-3.0475
6.73747,0.949533,-0.654222,-3.10289
6.74997,0.975554,-0.609668,-3.11505
6.76247,0.993471,-0.568864,-3.08383
6.77497,1.00265,-0.533651,-3.00975
6.78747,1.00276,-0.505785,-2.89402
6.79997,0.99373,-0.486844,-2.73851
6.81247,0.975718,-0.47814,-2.54569
6.82497,0.949022,-0.480647,-2.31859
6.83747,0.914021,-0.494945,-2.06069
6.84997,0.871107,-0.521184,-1.77589
6.86247,0.820629,-0.55907,-1.46836
6.87497,0.762859,-0.607859,-1.14253
6.88747,0.69798,-0.66638,-0.802919
6.89997,0.6261,-0.733061,-0.454136
6.91247,0.547283,-0.805975,-0.100759
6.92497,0.461609,-0.882894,0.252706
6.93747,0.369241,-0.961357,0.601872
6.94997,0.270511,-1.03875,0.942504
6.96247,0.165996,-1.11238,1.27054
6.97497,0.0565994,-1.17962,1.58207
6.98746,-0.0563886,-1.23795,1.87338
6.99996,-0.171241,-1.28516,2.14086
7.01246,-0.285779,-1.31935,2.38103
7.02496,-0.397387,-1.33915,2.59052
7.03746,-0.503054,-1.34372,2.76608
7.04996,-0.599468,-1.33285,2.90458
7.06246,-0.683139,-1.30697,3.0031
7.07496,-0.750553,-1.26714,3.05902
7.08746,-0.798356,-1.21497,3.07013
7.09996,-0.823541,-1.15251,3.03477
7.11246,-0.823628,-1.0821,2.95199
7.12496,-0.79682,-1.00617,2.82167
7.13746,-0.742113,-0.927067,2.6446
7.14996,-0.659357,-0.846834,2.42256
7.16246,-0.549268,-0.767046,2.15832
7.17496,-0.413382,-0.688684,1.85557
7.18746,-0.253992,-0.612053,1.51887
7.19996,-0.0740589,-0.536773,1.15354
7.21246,0.122873,-0.461829,0.765565
7.22496,0.33275,-0.385683,0.361493
7.23746,0.551066,-0.306442,-0.0516668
7.24996,0.77292,-0.222068,-0.466529
7.26246,0.993081,-0.130613,-0.875431
7.27496,1.20608,-0.0304709,-1.27056
7.28746,1.40633,0.0793857,-1.64414
7.29996,1.58838,0.199197,-1.98862
7.31246,1.74711,0.328266,-2.297
7.32496,1.87809,0.46488,-2.5631
7.33746,1.97787,0.606333,-2.78189
7.34996,2.04427,0.749032,-2.94976
7.36246,2.07654,0.888711,-3.06468
7.37496,2.07545,1.02069,-3.12627
7.38746,2.04318,1.14021,-3.1357
7.39996,1.98313,1.2427,-3.09545
7.41246,1.89958,1.3241,-3.00905
7.42496,1.79732,1.38109,-2.88072
7.43746,1.6813,1.41118,-2.71501
7.44996,1.55627,1.41286,-2.51657
7.46246,1.42653,1.38557,-2.28991
7.47496,1.29574,1.32967,-2.03929
7.48746,1.16679,1.24636,-1.76868
7.49996,1.04179,1.13756,-1.48175
7.51246,0.92204,1.00579,-1.18193
7.52496,0.808124,0.854099,-0.872437
7.53746,0.69997,0.685892,-0.556379
7.54996,0.596977,0.504883,-0.236765
7.56246,0.498142,0.314988,0.0834558
7.57496,0.402204,0.120259,0.40138
7.58746,0.307797,-0.0751911,0.714158
7.59996,0.213596,-0.267242,1.01901
7.61246,0.118459,-0.451837,1.31322
7.62496,0.0215646,-0.62505,1.59418
7.63745,-0.0774791,-0.783161,1.85934
7.64995,-0.17854,-0.922743,2.10621
7.66245,-0.280899,-1.04075,2.33233
7.67495,-0.383212,-1.13461,2.53521
7.68745,-0.483515,-1.20233,2.7123
7.69995,-0.579255,-1.24255,2.86095
7.71245,-0.667379,-1.25464,2.97845
7.72495,-0.744458,-1.23871,3.06201
7.73745,-0.806869,-1.1956,3.10893
7.74995,-0.851008,-1.1269,3.11669
7.76245,-0.873551,-1.03476,3.08317
7.77495,-0.871721,-0.921837,3.00691
7.78745,-0.843552,-0.791098,2.88727
7.79995,-0.788118,-0.645609,2.72473
7.81245,-0.705686,-0.488353,2.52099
7.82495,-0.597794,-0.322048,2.27905
7.83745,-0.467224,-0.149017,2.00324
7.84995,-0.317888,0.0288951,1.69906
7.86245,-0.154623,0.210324,1.37301
7.87495,0.0170634,0.394323,1.03231
7.88745,0.191298,0.580243,0.684638
7.89995,0.36215,0.767564,0.33777
7.91245,0.523935,0.955717,-0.000718594
7.92495,0.671512,1.14391,-0.323757
7.93745,0.800523,1.33097,-0.625041
7.94995,0.9076,1.51526,-0.899239
7.96245,0.990502,1.69466,-1.14214
7.97495,1.04818,1.86656,-1.35071
7.98745,1.08077,2.02799,-1.52307
